Question,Answer
레이드 보상 개인 지급인가요?,"네, 보상은 /레이드 에 적힌 보상이 레이드에 참여한 모두에게 개인적으로 지급됩니다."
네더월드는 랜덤 이동 기능이 없나요?,"네, 네더월드, 엔더월드에서는 /wild 를 통한 랜덤텔포가 불가능합니다."
마을비 얼마나 나가는지 어떻게 확인하나요?,/마을 > 마을 정보(인챈트 북 형태) > 세금(빨간 글씨) 확인 하면 됩니다.
마을 생성이 안 돼요,"마을 1, 2 서버는 현재 생성제한이라 마을 생성이 불가능하고 마을 3서버에서 생성하시면 됩니다. /wild 를 통해 주변에 마을이 없는 공간을 찾아보시는걸 추천드려요."
원소가루로 조각을 만들 수 있나요?,"아니오, 현재 시스템 상으로는 불가능합니다."
과성장 농작물은 다 자란 상태에서 또 기다려야 하나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
경험치 레벨은 어디다 쓰나요?,/e 를 통해 바닐라 경험치를 소비해 커스텀 인챈트를 뽑을 수 있습니다.
과성장 촉진제는 농작물 심어놓고 뿌려야 하는건가요?,"아니오, 비료는 항상 작물을 심기 전에 화분에 사용해야 합니다."
바다의 심장은 어디에 쓰이나요?,전달체 조합이나 낚싯대 강화석 중 하나인 'Master fisherman' 제작에 쓰입니다.
장비 수리 돈드나요?,서버내에 수리 명령어는 따로 존재하지 않습니다. 모루나 수선 인챈트를 통해 장비를 수리할 수 있습니다.
비료는 한 화분에 여러 종류 중첩 사용 가능한가요?,"아니오, 마지막에 뿌린 비료의 효과만 적용되고 이전에 뿌린 비료의 효과는 사라집니다."
자신의 잠수코인은 어디서 확인하나요?,잠수 전투내에 있는 알레이 npc를 통해서 확인할 수 있습니다.
금 물뿌리개는 어디서 구할 수 있나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
동전은 어디서 교환하나요?,/상점 > 은행에서 교환할 수 있습니다.
가구는 어디서 구매하나요?,/스폰 > 우측버스정류장 > 가구 상점 에서 구매가 가능합니다.
마을 어떻게 삭제하나요?,삭제하고자 하는 마을이 있는 마을월드에서 /마을 삭제 를 하면 됩니다.
마을월드에선 랜덤티피 안되나요?,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
과성장 작물은 어디에다 쓰나요?,/상점 > 잡화상점 > 농사 상점 >과성장 농작물 판매 를 통해 꿀을 얻을 수 있습니다.
은행에서 코인 바꾸기가 안되는데 어떻게 하는건가요?,/상점 > 우측 상단 은행에서 코인을 구매하거나 판매할 수 있습니다.
스프링쿨러에 물줘도 안뿌리는데 왜이러나요?,스프링쿨러는 매일 정해진 시간(화분이 마른 직후)마다 물을 뿌립니다. 
스폰포인트 재설정 어떻게 하나요?,본인의 마을에서 /land setspawn 를 통해 마을 스폰위치를 재설정 할 수 있습니다.
황금토마토는 어디에 쓰는건가요?,추후에 업데이트를 통해 사용처가 추가될 예정입니다.
커스텀 농사로 농사스킬 올라가요?,"네, 커스텀 농작물을 수확할 때도 농사 스킬 경험치가 올라갑니다."
경매장 아이템 구매했는데 어떻게 받나요?,경매장에 있는 '구입한 아이템' 항목에서 받을 수 있습니다.
비닐하우스 한개가 화분 하나만 적용되는 건가요?,"네, 비닐하우스 한 개당 화분 한 개만 보호할 수 있습니다."
마을 청크 어떻게 늘리나요?,"길라잡이 45단계 이후, 대장장이 작업대 건축자재를 통해 마을 최대 청크를 늘릴 수 있습니다."
처음 들어왔는데 뭐 부터 해야할지 모르겠어요,/위키 를 한 번 정독한 후 /길라잡이 를 따라 플레이 하는걸 추천드립니다.
예금 어떻게 빼나요?,/마을 출금 금액 를 통해 가능합니다.
자신 엔트로피는 어디서 확인할 수 있어요?,/fish entropy 를 통해 확인이 가능합니다.
집 어케 가나요?,본인의 마을이 있는 마을월드에서 /마을 스폰 를 통해 갈 수 있습니다.
마을 어디서 사여?,마을월드에서 /마을 생성 마을이름 를 통해 마을을 생성할 수 있습니다.
고급 스프링쿨러는 경매에서 밖에 못 얻나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
야생초기화 언제 해요?,야생 초기화는 약 2주마다 진행됩니다. 자세한 야생 초기화 날짜는 초기화 며칠 전 디스코드 공지사항에 공지 됩니다.
최첨단 스프링쿨러 범위가 어떻게 되나요?,스프링 쿨러가 설치된 칸을 포함해서 7x7 범위로 물을 뿌려줍니다.
꿀이 든 병 어떻게 꿀병으로 바꾸나요?,서로 다른 아이템이기에 불가능합니다.
커스텀 인챈트 칸은 어떻게 늘리나요?,/스폰 > 우측 버스정류장 > 마법부여소의 마법 조수에게서 마법의 눈을 구매해 사용하면 됩니다.
날짜는 언제마다 바뀌나요?,"마인크래프트로 하루, 현실시간으로 20분마다 바뀝니ㅏㄷ."
채팅창 크기를 조절할 수 있나요?,esc > 설정 > 비디오설정 > gui 크기설정 을 통해 조절 할 수 있습니다.
잠수 포인트로는 뭘 할수 있나요?,잠수 전투내에 있는 알레이 npc를 통해 잠수전투 스텟을 올리거나 베어코인으로 교환 후 /상점 > 잠수상점 에서 아이템을 구매할 수 있습니다.
혹시 피로도는 어떻게 채우나요?,1분이 지날때마다 자동으로 1씩 채워집니다.
엔트로피 어떻게 뽑나요?,길라잡이 35단계 이후로 /어부 > 낚싯대강화 > 엔트로피추출 를 통해 엔트로피 결정으로 교환이 가능합니다.
돈이있는데 물뿌리개랑 스프링쿨러가 왜 안사지나요?,"스프링쿨러, 물뿌리개 등은 '꿀' 을 통해서 구매할 수 있습니다."
대기열 취소 어떻게 하나요?,/leavequeue 를 통해 대기열 취소가 가능합니다.
연금술 경험치 어떻게 올려요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
경매에 올린 거 수령 어떻게 하나요?,/경매 수령 를 통해 판매금액 수령이 가능합니다.
실 어디서 사나요?,/상점 > 잡화상점 > 전리품 상점 에서 구매 가능합니다.
색 안변하는 화분은 어떻게 해야하나요?,화분을 부수고 다시 설치하시면 됩니다.
은 물뿌리개나 은 스프링쿨러는 어떻게 구하나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
마을 유지비는 뭔가요?,현실 시간으로 매일 자정 마을 금고에서 자동으로 (청크x2500)코인 만큼의 마을 유지비가 빠져나갑니다. 마을 금고에 마을 유지비가 없으면 마지막으로 점유한 청크부터 부족한 유지비의 가격만큼 사라집니다.
다른 플레이어에게 제가 가지고있는 엔트로피 줄수있는 방법있나요?,길라잡이 35단계 이후로 /어부 > 낚싯대강화 > 엔트로피추출 를 통해 엔트로피 결정으로 교환이 가능합니다.
커스텀 농사는 어떻게 채집하나요?,커스텀 농작물이 다 자란 상태일 경우 맨손으로 우클릭을 해서 수확할 수 있습니다.
엔더월드 어떻게 가나요?,길라잡이 60단계를 클리어한 상태에서 야생에서 엔더포탈을 찾아서 들어가면 됩니다.
개인 창고같은거 없나요,길라잡이 40단계 이후로 /가방 를 통해 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
꿀로 뭘 할 수 있나요?,"[/상점 > 꿀 상점, 하버의 농작물 상점], [/e > 마법 상점], [/스폰 > 우측버스정류장 > 가구 상점, 악기 상점] 등에서 각종 아이템을 구매하는데 사용합니다."
수선 어디서 사나요?,/상점 > 잡화상점 > 기타상점에서 30만 코인에 구매 가능합니다.
금괭이 얻는 명령어가 뭔가요?,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
본인의 엔트로피 소지량은 어떻게 볼 수 있나요?,/fish entropy 를 통해 확인이 가능합니다.
비닐하우스 능력이 뭔가요?,비닐하우스로 보호 받는 화분에 계절에 상관없이 작물을 심을 수 있습니다.
코인 어떻게 모아요?,/상점 에 아이템을 판매하거나 유저거래를 통해 코인을 벌 수 있습니다. 초반에는 광질을 하시는 것을 추천 드립니다.
물약을 만들어도 연금술 레벨이 안올라요,본인이 설치한' 양조기에 물약을 제조하셔야 경험치가 오릅니다.
장비에 커스텀 인챈트 몇 개 까지 가능한가요?,"기본적으로는 2개까지 붙일 수 있고, 마법의 눈을 사용하면 최대 8개까지 붙일 수 있습니다."
낚시레벨 순위 어디서 보나요?,/skill top 스킬이름 을 통해 스킬순위를 볼 수 있습니다.
동물은 어디서 찾아요?,/wild 를 통해 랜덤텔포 하며 평원이나 자작나무 숲 지형등을 찾은 후 f3+b 로 히트박스를 키고서 동물을 찾으시면 됩니다.
큐피트 도구가 뭔가요?,베어 타운에 존재하는 특수한 장비 입니다.
큐피트 도구 어디서 얻어요?,"/보급상자 > 열쇠상인에게 토르, 큐피트, 드워프 열쇠 구매 후 상자를 개봉하거나 유저한테 구매할 수 있습니다."
작물 수확 퀘스트 어떻게 깨나요?,"커스텀 농작물은 퀘스트 진행도에 포함이 안되고 밀, 비트, 감자, 당근, 네더와트 등의 씨앗 작물을 캐서 진행도를 올릴 수 있습니다."
로얄젤리 주 사용처가 어떻게 되나요?,"마을 건축자재, vip구매, (드워프, 큐피트) 열쇠 및 패키지 구매 등에 사용합니다."
물뿌리개 교환이 안되는데 버그인가요?,교환이 안 되는 아이템을 손에 들고 /업데이트 를 하면 됩니다.
마을에 지옥 포탈 만들어도 되나요?,마을월드에서 포탈을 탈 수 없습니다. 장식용으로 설치해도 됩니다.
이 커스텀 물고기는 어느 바다에서 나오나요?,/어부 > 물고기 도감 을 통해 해당 물고기가 어느 바이옴에서 나오는지 확인이 가능합니다.
호박은 주간퀘 작물에 포함이 안되나요/,"커스텀 농작물은 퀘스트 진행도에 포함이 안되고 밀, 비트, 감자, 당근, 네더와트 등의 씨앗 작물을 캐서 진행도를 올릴 수 있습니다."
vip 혜택중에 아이템 먹고싶은거만 들어오게 하는거 있나요?,/option > 아이템 줍지 않기 를 통해 설정할 수 있습니다.
지옥에서 랜덤티피 하는 것은 없나요?,"네, 네더월드와 엔더월드는 랜덤텔포가 불가능합니다."
엔트로피는 주로 어디에 사용되나요?,"강화석 제작 및 배달, 토템 관련 강화에 쓰입니다. (확인 명령어 : /fish entropy)"
기본 물고기가 뭔가요?,커스텀 물고기 종류 중에 '기본 물고기' 가 존재 합니다.
커농 하는데 리미티드 걸리는거 왜 걸리는건가요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
커스텀 인챈트 종류 어디서 보나요?,/e > 특정 등급의 커스텀 인챈트를 우클릭 해서 종류와 효과를 볼 수 있습니다.
커스텀 물고기는 어디서 얻나요?,커스텀 물고기는 미끼를 장착한 낚싯대로 낚을 수 있습니다.
암흑의 주문서는 커스텀 인챈트만 되나요?,"네, 커스텀 인챈트만 추출 가능합니다."
과성장 농작물 어디에 판매하나요?,/상점 > 잡화상점 > 농사 상점 >과성장 농작물 판매
광물 어디에 판매하나요?,"/상점 > 잡화상점 > 광물상점 , 혹은 손에 아이템을 들고 /sell 을 통해 판매가 가능합니다."
afk 잠수해제 어떻게 하나요?,로비서버에서 /afk 를 통해 설정이 가능합니다.
야생서버에서 친구랑 어떻게 만나나요?,/tpa 닉네임 를 통해 상대방에게 이동 요청을 보낼 수 있습니다. /tpahere 닉네임 를 통해 상대방을 본인의 위치로 이동하도록 요청을 보낼 수 있습니다.
낚시 강화석 레시피 어떻게 알 수 있나요?,/위키 > 메인컨텐츠 > 생활활동 > 낚시 > 낚시효율 높이기 > 강화석 에서 확인 가능합니다.
모루 어딨나요?,모루는 직접 제작해서 사용해야 합니다.
물뿌리개 업글 왜 안될까요?,교환이 안 되는 아이템을 손에 들고 /업데이트 를 하면 됩니다.
성장촉진제 어떻게 쓰나요?,해당 종류의 비료를 사용하고자 하는 화분에 우클릭을 눌러 사용 후 작물을 심으면 됩니다.
마을영토 부분삭제 어떻게 해요?,/unclaim 를 통해 청크 단위로 마을 땅을 삭제할 수 있습니다.
야생에서 길들인 고양이나 늑대는 마을로 가면 알아서 따라오나요?,"아니오, 다른서버이기에 따라오지 못합니다."
상점 판매금액 제한 걸리면 그 날은 어떤 물품도 상점에 못파는건가요?,"아니오, 커스텀 농작물, 바닐라 농작물만 일일 상점 판매금액 제한이 있습니다."
마을에서 가축 어떻게 키우나요?,/상점 > 잡화상점 > 기타상점 에서 몬스터볼을 구매해서 야생에서 가축을 잡아서 마을에서 키우시면 됩니다. /위키 규칙 동물 수 제한을 참고해주세요.
금호미 명령어가 뭔가요?,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
미끼는 어떻게 얻나요?,/어부 > 미끼상점 에서 구매하거나 유저에게 미끼를 구매해서 낚싯대에 드래그하여 사용할 수 있습니다.
엔더월드 갈 수 있나요?,길라잡이 60단계를 클리어한 상태에서 야생에서 엔더포탈을 찾아서 들어가면 됩니다.
비닐하우스 유리 어떤 느낌으로 둬야하나요?,보호할 작물과 같은 좌표 위에 햇빛을 가린다는 느낌으로 설치하면 됩니다.
가방이 안열려요,길라잡이 40단계 이후로 /가방 를 통해 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
마을 점유지가 초기화 됐는데 어떡하죠?,마을유지비를 내지 않아 마을청크가 삭제된 상태입니다. 본인 마을을 찾아가서 /claim 를 통해 마을 청크를 다시 구매해야 합니다.
셋홈 리스트 지우는법이 뭔가요?,/homelist 를 통해 수정 및 삭제가 가능합니다.
커스텀 인챈트 어떻게 떼나요?,/e > 마법 상점 에서 '암흑의 주문서'를 구매 후 사용하면 커스텀인챈트를 추출할 수 있습니다.
야생에서 지옥은 안가지나요?,길라잡이 20단계를 클리어한 상태에서 야생에 지옥포탈을 열어 갈 수 있습니다.
혹시 자수정 팔수있나요?,/상점 명령어를 통해 판매가 불가능한 아이템은 유저에게 판매할 수 있습니다.
일퀘 깨면 어떻게 되는건가요,일퀘를 클리어 하면 열쇠등의 보상과 시즌패스 점수를 얻을 수 있습니다.
마을3 랜덤텔포가 되지 않습니다.,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
마을 청크가 9개밖에 안되는데 늘릴수없나요?,"길라잡이 45단계 이후, 대장장이 작업대 건축자재를 통해 청크를 늘릴 수 있으며 본인이 점유한 땅과 붙혀서 땅을 점유 할 수 있습니다."
파쿠르는 어떻게하나요?,/서버이동 > 로비서버 > 네더의 별 우클릭 > 파쿠르 클릭하면 됩니다.
물뿌리게에 물은 어떻게 채우나요,물을 바라보고 우클릭 하면 됩니다.
마을스폰 위치 어떻게 바꾸나용?,변경하고자 하는 위치에 서서 /마을 스폰변경 를 하시면 됩니다.
커스텀 작물은 가이아의 축복 적용 안되나영?,"네, 커스텀 작물은 가이아의 축복이 적용 되지 않습니다."
다이아몬드 - 몇에서 잘나오나용?,y -54에서 캐시는걸 추천드립니다.
청금석 좌표 몇부터 나오나요?,인터넷에 마인크래프트 1.18 광물 분포도를 검색해보시면 됩니다.
커스텀 음식 먹고 남은 시간 보는 방법이 있나요?,남은시간을 보는 방법은 따로 없기에 먹은 시간을 기억해두는 것이 좋습니다.
코인은 어떻게 얻나요?,/상점 에 각종 아이템을 판매해서 코인을 얻을 수 있습니다.
밀 같은 건 사람이 있어야 자라는건가요?,"네, 밀 등의 바닐라 작물들은 주변에 사람이 있어야 자랍니다."
마법가루는 중첩사용이 가능한가요?,"네, 중첩해서 사용할 수 있습니다."
악마사냥꾼 시세 어느정도 하나요?,"아이템의 시세는 /디스코드 거래게시판, /경매장 등을 통해서 확인할 수 있습니다."
상점 장식 카테고리에 차광유리는 일반 유리랑 다른가요?,차광유리는 햇빛을 가려주는 유리입니다.
확성기 어떻게 얻나요?,/상점 > 기타 상점에서 구매 후 손에 확성기를 들고 /확성기 할말 를 하면 됩니다.
아래 번개 이모지 다 차면 어떻게 되는 건가요?,"스태미너라는 수치로 야생에서 상자를 열 때 20~50 씩 소모 되고, 가득 차 있어도 디버프는 없습니다."
바닐라 농작물들은 심어진 청크에 사람이 있어야지 자라나요?,"네, 바닐라 작물들은 주변에 사람이 있어야 자랍니다."
커스텀물고기는 어디서 낚을 수 있나요?,"야생, 마을 상관없이 되며, 커스텀 물고기는 미끼를 장착하셔야하고 다른 플레이어들과 같이 낚시를 하여 파티 낚시 효과를 받으며 낚시하는게 좋습니다."
미끼 어디서 구매해야되나요?,"/어부의 미끼 상점에서 구매 가능합니다. 혹은, 유저 거래로도 구할 수 있습니다."
커스텀괭이랑 일반괭이 기본능력차이가 있나요?,"큐피트 괭이의 경우 행운5가 적용돼 있어 감자, 당근, 네더와트 등의 작물들 더 많이 얻을 수 있습니다."
한 방어구당 인챈트 최대 5개까지 달수있는거 맞나요?,바닐라 인챈트의 경우 '너무 비쌉니다' 문구가 뜨지 않는 한 제한이 없고 커스텀 인챈트의 경우 기본 2칸이 주어지며 마법의 눈으로 더 확장할 수 있습니다.
농작물 빛 있어야 자라나요?,네 농작물의 경우 밝기가 7이상에서 자랍니다.
수박은 빛 있어야 자라나요?,네 농작물의 경우 밝기가 7이상에서 자랍니다.
물 줘도 화분이 안적셔져요,물이 안 줘지는 화분을 캐서 손에 들고 /업데이트 후 다시 사용해 보시기 바랍니다.
집 정하는 금괭이 잃어버렸는데 어떻게 해요,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
감마는 불법인가요?,감마는 마인크래프트 1.19버전부터 막힌 것으로 알고 있습니다.
일반 인챈트 할 수 있나요?,/스폰 > 우측 버스정류장 > 마법부여소에서 인챈트를 하시거나 마을에서 인챈트장을 만들어서 사용하면 됩니다.
슈퍼 디럭스 촉진제는 작물 심기전에 화분에 심어야 하나요?,네 비료는 작물을 심기 전 화분에 우클릭으로 사용해야 합니다.
마을 들어와 있는대 마을이 없다고 마을 스폰이 안되는대 해결할 방법없나요?,마을유지비를 내지 않아 마을청크가 삭제된 상태입니다. 본인 마을을 찾아가서 /claim 를 통해 마을 청크를 다시 구매해야 합니다.
biome disruption 강화석 쓰면 아무바이옴에서나 커스텀 물고기 낚이나요?,"네, 모든 바이옴에서 커스텀 물고기가 낚입니다."
화분에 물은 얼마나 안줘도 되는건가용,매일 20분간격으로 화분이 마르니 화분이 마른 직후 물을 주면 됩니다. 화분이 마르는 시각은 서버 렉 때문에 조금씩 변경되고 있습니다.
죽으면 돈 잃나요?,"아니오, 죽어도 돈을 잃지 않습니다."
화분에 우클릭해도 물이 안주어져요,물이 안 줘지는 화분을 캐서 손에 들고 /업데이트 후 다시 사용해 보시기 바랍니다.
예금확인 하는방법이 뭔가요?,/마을 금고 를 통해서 확인할 수 있습니다.
지금 디스코드 연동이 막혔나요?,스폰서버에서 /디스코드 연동 를 하시면 됩니다.
혹시 일퀘는 어디서 보나요?,길라잡이 20단계 이후 /일퀘 를 통해서 볼 수 있습니다.
야생어떻게 가나요?,/서버이동 > 야생 를 통해서 갈 수 있습니다.
캐릭터가 왜 안움직여 지는줄 알수있을까요?,한영키를 눌러보시기 바랍니다.
드워프 곡괭이가 네더라이트 곡괭이보다 속도가 훨씬 빠른가요?,기본 드워프 곡괭이로 돌을 한방에 캘 수 있고 성급함3 버프를 받은 드워프 곡괭이로 심층암 돌을 한방에 캘 수 있습니다.
미끼는 한개씩만 착용 가능한가요?,"네, 매크로 방지를 위해서 한개씩만 장착이 가능합니다."
디코 랭크 로얄곰은 뭐하면 받나요?,"인게임 내 VIP 기간인 경우, 디스코드와 연결 되어 로얄곰 칭호를 지급받습니다."
혹시 전투력 보는법이 뭔가요?,탭키를 눌러서 좌측에 전투력(빨간글씨)을 볼 수 있습니다.
커스텀 장비에 수선같은 바닐라 인챈 못 붙이나요?,모루를 통해서 수선 등 바닐라 인챈트를 붙일 수 있습니다.
보통 음식은 어디서 구하나요?,/상점 > 음식상점에서 원하는 음식을 구매해서 드시면 됩니다.
혹시 과성장 토마토도 1~4개 사이에서 드롭되나요?,과성장 농작물은 1개씩만 드랍됩니다.
미지근한 바다랑 따뜻한 바다랑 다른가요?,"네, 서로 다른 바이옴입니다."
마을에 초록 테두리 계속 보는거 어떻게 하나요?,/view 나 /land map를 통해 볼 수 있습니다.
디스코드 연동 해도 왜 코드 번호 안나오죠?,스폰서버에서 /디스코드 연동 를 하시면 됩니다.
은행이 어디에 있나요?,/상점 > 좌측상단에서 이용 가능 합니다.
잠수어디서해요?,/서버이동 > > 로비서버 > 네더의 별 우클릭 > 잠수전투 를 하시면 베어코인으로 교환 가능한 점수를 얻으며 잠수가 가능합니다.
마을 경계선 보는법 있나요?,/view 나 /land map를 통해 볼 수 있습니다.
경매장이 안떠요,스폰서버에서 /경매장 를 하셔야 합니다.
경험치 스크롤 코인으로 살 수 있나요?,"/경매장, /디스코드 > 거래게시판 등을 통해 유저에게서 구매하셔야 합니다."
돌고래 꼬리는 어떻게 얻나요?,돌고래꼬리는 돌고래를 잡을 시 확률적으로 획득할 수 있습니다.
지옥문 들어가면 왜 화면 울렁울렁거리고 안가지나요?,마을월드에서 포탈을 탈 수 없습니다. 우측 스코어보드를 통해 현재 월드가 야생월드가 맞는지 확인 바랍니다.
모닥불 삽으로 불 안꺼지는데 왜이런가요?,쉬프트 우클릭으로 모닥불의 불을 끌 수 있습니다.
30일 지나면 vip다시 또 후원해야되나용?,"네, 혹은 그 전에 vip 칭호를 미리 구매해서 연장할 수도 있습니다."
행운 스텟이 어떤 역할을 하나요?,/스킬 > 내 정보 를 통해서 스텟 별 능력을 확인할 수 있습니다.
꿀병 하나에 얼마나 하나요?,"아이템의 시세는 /디스코드 거래게시판, /경매장 등을 통해서 확인할 수 있습니다."
드워프 곡괭이에 행운 못붙이나요?,모루를 통해서 수선 등 바닐라 인챈트를 붙일 수 있습니다.
잠수 공격력 올리는거 구매 화폐를 어디서 얻을 수 있나요?,잠수 전투에서 몹을 죽여서 코인을 얻고 알레이 npc를 통해 잠수 전투 공격력을 올릴 수 있습니다
지옥은 어떻게 갈수있나요,길라잡이 20단계를 클리어한 상태에서 야생에 지옥포탈을 열어 갈 수 있습니다.
등급있는 장비 같은건 어디서 구하나요?,"/보급상자 > 열쇠상인에게 토르, 큐피트, 드워프 열쇠 구매 후 상자를 개봉하거나 유저한테 구매할 수 있습니다."
야생서버에 갇혀서 못 나가고 있어요,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
마을에서 랜덤텔포 못하나요?,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
다른 사람이 제 마을에 떨어져 있는 아이템을 못 줍게는 할 수 없나요?,/마을 > 입주민 권한 >방문자 > 행동권한 > 아이템 줍기 off 로 설정하면 됩니다.
마을 유지비 안내면 마을이 사라지나요?,마을유지비를 내지 않아 마을청크가 삭제되고 본인 마을을 찾아가서 /claim 를 통해 마을 청크를 다시 구매해야 합니다.
엔트로피는 어떻게 확인하나용?,/fish entropy 를 통해 확인이 가능합니다.
에메랄드는 어디다가 쓰나요?,"강화석 제작, 캔버스 제작등에 사용됩니다."
자동심기 있나요?,농사 액티브 스킬인 '가이아의 축복' 발동 시 자동심기가 가능합니다.
vip 구매어디서 하면 되나요?,/후원 에서 로얄젤리 20개로 vip 칭호 30일 이용권을 구매할 수 있습니다.
경매장에서 단수로 구매 못하나요?,"네, 올라온 갯수로 밖에 구매가 불가능합니다."
엔트로피는 무슨 용도인가요?,"강화석 제작 및 배달, 토템 관련 강화에 쓰입니다. (확인 명령어 : /fish entropy)"
커스텀 물고기 어떻게 판매해요?,/어부 > 저울 를 통해 물고기를 판매하거나 /어부 > 물고기 손질 를 통해 엔트로피로 교환할 수 있습니다.
드워프 아이템 옵션이 궁금한데 어디서 확인하나요?,/보급상자 > 드워프 상자 를 좌클릭 해서 드워프 아이템을 볼 수 있습니다.
물고기배달 야생 채널마다 다른가요?,"네, 야생서버마다 물고기배달이 별개로 존재합니다."
치유술은 어떻게 올리나요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
금 호미는 직접 만들어야 되나요?,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
미끼는 어떻게 사나요?,/어부 > 미끼상점 에서 구매하거나 유저에게 미끼를 구매해서 낚싯대에 드래그하여 사용할 수 있습니다.
최고급 스프링쿨러 어케 얻나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
마을 영역 어떻게 확인 하나요?,/view 나 /land map를 통해 볼 수 있습니다.
셋홈 갯수 어떻게 늘리나요?,현재 2개가 최대이며 더 늘릴 수 있는 방법은 없습니다.
엔트로피 결정은 어떻게 얻는건가요?,길라잡이 35단계 이후로 /어부 > 낚싯대강화 > 엔트로피추출 를 통해 엔트로피 결정으로 교환이 가능합니다.
포획허가서는 어디서 얻나요?,포획허가서는 추후 업데이트 예정입니다.
돈 어떻게 뽑아요?,/상점 > 은행 에서 코인을 구매하시면 됩니다.
본인 마을로 어떻게 가나요?,본인의 마을이 있는 월드에서 /마을 스폰 를 통해 마을로 이동할 수 있습니다.
석탄 y몇에서 잘 나오나요?,인터넷에 마인크래프트 1.18 광물 분포도를 검색해보시면 됩니다.
잠수 어떻게 해요?,/서버이동 > > 로비서버 > 네더의 별 우클릭 > 잠수전투 를 하시면 베어코인으로 교환 가능한 점수를 얻으며 잠수가 가능합니다.
양배추 자라는데 얼마나 걸리나요?,현실시간으로 약 40분정도 걸립니다.
물고기 주머니에 넣어둔 아이템이 사라졌어요,서버마다 물고기 주머니가 별개로 존재하기 때문에 다른 서버를 확인해보시기 바랍니다.
농작물 판매 제한이 얼마인가요?,"커스텀 농작물, 바닐라 농작물을 포함해서 하루에 판매할 수 있는 가격의 총량으로 약 1000만 코인 정도의 판매제한이 있습니다."
일일판매 금액이 뭔가요?,"커스텀 농작물, 바닐라 농작물을 포함해서 하루에 판매할 수 있는 가격의 총량으로 약 1000만 코인 정도의 판매제한이 있습니다."
"믹서기 v1, v2 차이가 뭔가요?",기능은 똑같고 디자인 차이만 존재합니다.
가방 권한얻으려면 어찌해야하나요?,길라잡이 40단계 이후로 /가방 를 통해 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
전체 스킬 총합 보는 방법이 뭔가요?,탭키를 누르셔서 좌측을 보시면 확인 가능합니다.
포도 더 심는 방법이 있나요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다. 다른 청크에 더 심으시면 됩니다.
비닐하우스 범위가 어떻게 되나요?,비닐하우스 한 개당 화분 한 개만 보호할 수 있습니다.
비닐하우스는 제거하면 사라지나요?,"아니오, 맨손이나 도구로 캐시면 다시 아이템으로 회수 됩니다."
커스텀 인챈트 어떻게 지우나요?,숫돌로 인챈트를 초기화 하거나 암흑의 주문서로 커스텀 인챈트를 추출할 수 있습니다.
낚시 미끼를 살수는 없나요?,유저에게 미끼를 구매해서 낚싯대에 드래그하여 사용할 수 있습니다.
대기열 순서가 왜 자꾸 밀리나요?,vip 유저가 대기열 우선이라서 그렇습니다.
집으로 텔포 어떻게 하나요?,본인의 마을이 있는 월드에서 /마을 스폰 를 통해 마을로 이동할 수 있습니다.
채팅창 내리기 기능이 있나요?,/option 에서 설정 가능합니다.
인첸트는 어떻게 하나요?,/스폰 > 우측 버스정류장 > 마법부여소에서 인챈트를 하시거나 마을에서 인챈트장을 만들어서 사용하면 됩니다.
커스텀 작물 개수 제한 어떻게 늘려요?,한 청크당 64개의 작물 제한이 존재하므로 커스텀 농작물을 키우는 청크 수를 늘리면 됩니다.
과성장 작물은 어디에 쓰나요?,/상점 > 잡화상점 > 농사 상점 > 과성장 작물 판매 에서 꿀로 판매가 가능합니다.
실을 구매할 수 있나요?,/상점 > 잡화상점 > 전리품상점 에서 구매가 가능합니다.
커스텀 작물은 뭐로 캐야하나요?,커스텀 작물이 완전히 성장했을 때 맨손으로 우클릭 하면 수확이 가능합니다.
